Date,Type,Link
2025-07-20 20:36:05,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352521712850149376?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7352521712850149376%2C7352710914623631360%29
2025-07-19 15:14:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352124312306229248
2025-07-19 13:17:50,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347981732211585026?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7347981732211585026%2C7347995494297575424%29
2025-07-19 13:17:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347981732211585026
2025-07-19 13:17:35,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347981732211585026?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7347981732211585026%2C7348305895295959040%29
2025-07-19 11:40:25,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349271226671906817
2025-07-19 11:39:07,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351177946801266688
2025-07-19 11:13:16,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352215619112521728
2025-07-19 11:13:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7352215619112521728?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7352215619112521728%2C7352247853731176448%29
2025-07-19 11:12:05,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7351963562690424833
2025-07-19 10:50:09,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7351304957825835008?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7351304957825835008%2C7351985299658317825%29
2025-07-15 12:12:06,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7350847434408828929?commentUrn=urn%3Ali%3Acomment%3A%28ugcPost%3A7350847434408828929%2C7350849644869955585%29
2025-07-15 11:14:11,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7350513290734686208
2025-07-15 10:18:26,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7350224652046123008
2025-07-15 10:16:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349421868166074368
2025-07-15 10:08:48,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349442233915326465
2025-07-15 10:05:31,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7350489761217667075
2025-07-11 00:02:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349114473489518594
2025-07-11 00:01:38,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349194144482775041
2025-07-10 11:31:39,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349020003284729857
2025-07-10 11:30:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7349020704903688192
2025-07-08 12:53:11,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7348090368166383616
2025-07-07 02:36:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346882910274150403
2025-07-05 14:41:53,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7347201664883339264
2025-07-05 12:23:24,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345792378332454913
2025-07-05 12:06:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7345968279070408704
2025-07-05 12:05:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346413826713501697
2025-07-05 03:00:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346651345434591232
2025-07-03 11:32:01,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7346489431928791040?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7346489431928791040%2C7346495088014897154%29
2025-06-28 18:34:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7343646695685079040
2025-06-28 18:33:57,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7344784845639745538
2025-06-28 18:32:37,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7344682141621923840?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7344682141621923840%2C7344744771292184579%29
2025-06-28 11:07:43,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7344333731538583554
2025-06-26 22:50:15,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7344034541721833472
2025-06-26 22:39:14,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7343644760340910080
2025-06-19 00:35:33,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340838489476767746
2025-06-19 00:34:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7340872381848043520
2025-06-18 11:38:57,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340732090373591041
2025-06-17 09:59:18,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340466487603716096
2025-06-17 09:56:01,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340341742690287619?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7340341742690287619%2C7340439415665700865%29
2025-06-16 12:33:20,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7336160439937953792?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7336160439937953792%2C7336188380524797953%29
2025-06-16 12:26:53,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340341742690287619?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7340341742690287619%2C7340352342954790912%29
2025-06-16 12:23:30,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340332117651869698?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7340332117651869698%2C7340344598289952770%29
2025-06-16 12:04:45,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340341742690287619?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7340341742690287619%2C7340344747733020672%29
2025-06-16 11:42:24,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340341742690287619?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7340341742690287619%2C7340342454170095616%29
2025-06-16 11:33:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340037527925346304
2025-06-16 11:32:09,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7338949971515203591
2025-06-16 11:28:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340336618618187779
2025-06-16 11:10:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7340332117651869698
2025-06-16 10:41:09,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339496841576632321
2025-06-16 10:37:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338606223253987331
2025-06-16 10:31:42,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339652554013757440
2025-06-16 10:13:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7338559836076314625
2025-06-16 10:09:35,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339320804456730625
2025-06-16 02:29:15,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339209500337291264
2025-06-15 16:38:01,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339980392646533120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7339980392646533120%2C7340049760684298240%29
2025-06-15 12:18:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339980392646533120?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7339980392646533120%2C7339988445169147904%29
2025-06-15 11:43:34,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7339392785302638593
2025-06-09 23:47:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7337901345246482434
2025-06-05 01:15:33,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7335628021682327552
2025-06-05 01:11:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334261020619665408
2025-06-04 23:00:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334382413441097729?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7334382413441097729%2C7335104803804467201%29
2025-06-04 21:39:02,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7335365985694007296
2025-06-02 12:41:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334999244862312449
2025-05-31 01:55:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334382413441097729?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7334382413441097729%2C7334386832572329984%29
2025-05-31 01:06:17,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334163475520262144
2025-05-30 23:39:31,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7334321463673397248
2025-05-30 01:37:34,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333825650052485123
2025-05-30 00:39:13,ENTERTAINMENT,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332421345319825408?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7332421345319825408%2C7333915388067405825%29
2025-05-29 22:51:13,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333985568395010050
2025-05-26 23:29:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332721020824424449?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7332721020824424449%2C7332735915854831617%29
2025-05-26 23:29:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332721020824424449?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7332721020824424449%2C7332752474870624258%29
2025-05-26 23:28:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332721020824424449?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A7332721020824424449%2C7332731088760434688%29
2025-05-26 10:41:13,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332713459010125824
2025-05-24 20:31:37,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7331598607248175105
2025-05-24 19:56:45,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7332075792560005121
2025-05-21 23:46:29,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330694669783154689
2025-05-21 23:08:50,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330945889525555200
2025-05-21 23:04:33,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7330927113132298240
2025-05-19 12:53:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329644169772040192
2025-05-19 12:42:54,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7327792666975379457
2025-05-18 16:56:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329756700310138880
2025-05-17 00:26:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329233882552172544
2025-05-17 00:20:58,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329269222306390017
2025-05-17 00:20:22,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7329272450804789248
